name	university	homepage	total_all_2016_2022	total_conf_2016_2022	total_journal_2016_2022	ieeesp_2016_	acm_ccs_2016_	usenix_sec_2016_	ndss_2016_	tdsc_2016_	tifs_2016_	
Wei Wu 0001	Fujian Normal University	https://orcid.org/0000-0003-0343-4632	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Eduardo Lopes Cominetti			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Marcos A. Simplício Jr.	University of Sao Paulo	https://orcid.org/0000-0001-5227-7165	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Tomás Filler			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Jan Judas			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Jessica J. Fridrich	Binghamton University	http://www.ws.binghamton.edu/fridrich/	                    7	                    0	                    7	                    0	                    0	                    0	                    0	                    0	                    7
Arindam Kar			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Sourav Pramanik			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Arghya Chakraborty			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Debotosh Bhattacharjee	Jadavpur University	https://orcid.org/0000-0002-1163-6413	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Edmond S. L. Ho		https://dl.acm.org/profile/81309510722	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Hubert P. H. Shum	Durham University	http://hubertshum.com	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Jiantao Zhou 0001	University of Macau	https://orcid.org/0000-0002-6015-2618	                    7	                    0	                    7	                    0	                    0	                    0	                    0	                    1	                    6
Xianming Liu			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Oscar C. Au	Origin Wireless Inc.	http://www.ece.ust.hk/~eeau/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Yuan Yan Tang	University of Macau	http://www.comp.hkbu.edu.hk/~yytang/	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    1	                    1
Luiz G. Hafemann		https://orcid.org/0000-0002-8311-0728	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Robert Sabourin	ETS Montreal	https://www.etsmtl.ca/Unites-de-recherche/LIVIA	                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Luiz Eduardo Soares de Oliveira			                    4	                    0	                    4	                    0	                    0	                    0	                    0	                    0	                    4
Walter J. Scheirer	University of Notre Dame	http://www.wjscheirer.com	                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Anderson Rocha 0001	UNICAMP	http://www.ic.unicamp.br/~rocha	                    11	                    0	                    11	                    0	                    0	                    0	                    0	                    0	                    11
Jonathan Parris			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Terrance E. Boult	UCCS	http://www.cs.uccs.edu/~tboult	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Ankit Shah 0002	George Mason University	https://dl.acm.org/profile/99659053320	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Rajesh Ganesan			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Sushil Jajodia	George Mason University	http://csis.gmu.edu/jajodia/	                    10	                    0	                    10	                    0	                    0	                    0	                    0	                    3	                    7
Hasan Çam			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Seyed Mohammad Hosseini			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Amir Hossein Jahangir	Sharif University of Technology	http://sina.sharif.ac.ir/~jahangir	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Mehdi Kazemi			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Cong Chen			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Thomas Eisenbarth 0001	University of Lübeck	https://www.its.uni-luebeck.de/mitarbeiterinnen/thomas-eisenbarth.html	                    8	                    7	                    1	                    1	                    2	                    4	                    0	                    0	                    1
Ingo von Maurich		https://orcid.org/0000-0002-8461-9657	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
