name	university	homepage	total_all_2016_2022	total_conf_2016_2022	total_journal_2016_2022	ieeesp_2016_	acm_ccs_2016_	usenix_sec_2016_	ndss_2016_	tdsc_2016_	tifs_2016_	
Manuel Davy			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Stéphane Rossignol			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Zied Ellouze			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Bashar A. Rajoub			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Reyer Zwiggelaar	Aberystwyth University	https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/rrz	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Vincent Christlein		https://scholar.google.com/citations?user=iIV3XoAAAAAJ	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Christian Riess	University of Erlangen-Nuremberg	https://www.cs1.tf.fau.de/christian-riess/	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Johannes Jordan		https://orcid.org/0000-0003-3410-1099	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Corinna Riess			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Elli Angelopoulou	University of Erlangen-Nuremberg	http://www5.cs.fau.de/en/our-team/angelopoulou-elli	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Jon W. Wallace			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Rajesh K. Sharma			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Zhe Liu 0001	Nanjing University of Aeronautics and Astronautics	http://wwwen.uni.lu/recherche/fstc/computer_science_and_communications_research_unit/members/zhe_liu	                    12	                    1	                    11	                    0	                    1	                    0	                    0	                    6	                    5
Hwajeong Seo		https://orcid.org/0000-0003-0069-9061	                    5	                    0	                    5	                    0	                    0	                    0	                    0	                    3	                    2
Hao Dong 0003	Peking University	https://zsdonghao.github.io	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Chao Wu 0001	Zhejiang University	https://scholar.google.com/citations?user=gpTPt58AAAAJ	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Zhen Wei			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Yike Guo	Hong Kong Baptist University	https://www.comp.hkbu.edu.hk/v1/?page=profile&id=yikeguo	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Udit Satija		https://orcid.org/0000-0002-3851-765X	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Nikita Trivedi			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Gagarin Biswal			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Barathram Ramkumar			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Debayan Deb			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Nate Goergen			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Wan-Yi Sabrina Lin			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
K. J. Ray Liu	University of Maryland	http://www.cspl.umd.edu/kjrliu/	                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
T. Charles Clancy	Virginia Tech	http://www.ece.vt.edu/faculty/clancy.php	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Kai Wang 0002	Grenoble Institute of Technology	https://orcid.org/0000-0003-0053-3352	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Guillaume Lavoué	LIRS Lyon	http://liris.cnrs.fr/guillaume.lavoue/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Florence Denis			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Atilla Baskurt	LIRS Lyon	http://liris.cnrs.fr/atilla.baskurt/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Derek Justice			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Alfred O. Hero III	University of Michigan	http://web.eecs.umich.edu/~hero	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Parth Pradhan			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Parv Venkitasubramaniam	Lehigh University	https://orcid.org/0000-0002-0999-3331	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Nitesh Saxena	Texas A&M University	https://nsaxena.engr.tamu.edu	                    11	                    6	                    5	                    1	                    3	                    0	                    2	                    3	                    2
Jeong Hyun Yi		https://orcid.org/0000-0002-2720-0593	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Chonlatid Deerada			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Krisada Phromsuthirak			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Arucha Rungchokanun			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Vutipong Areekul			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Feng Ye			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Zheyuan Cheng			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Xianghui Cao		https://orcid.org/0000-0002-6771-0571	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Mo-Yuen Chow			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Razan Tajeddine			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Antonia Wachter-Zeh	Technical University of Munich	https://www.professoren.tum.de/en/wachter-zeh-antonia/	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Camilla Hollanti		https://orcid.org/0000-0001-5356-8669	                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Yuxi Liu			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Dimitrios Hatzinakos	University of Toronto	http://www.comm.toronto.edu/~dimitris/dimitris.html	                    5	                    0	                    5	                    0	                    0	                    0	                    0	                    0	                    5
Guang Hua 0001	Wuhan University	https://cn.linkedin.com/in/guang-hua-%E5%8D%8E%E5%85%89-1072b421	                    4	                    0	                    4	                    0	                    0	                    0	                    0	                    0	                    4
Ying Zhang 0047	National University of Singapore	https://orcid.org/0000-0001-6411-4486	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Jonathan Goh			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Vrizlynn L. L. Thing		https://orcid.org/0000-0003-4424-8596	                    4	                    0	                    4	                    0	                    0	                    0	                    0	                    0	                    4
Santosh Tirunagari		https://orcid.org/0000-0002-9064-1965	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
David Windridge	Middlesex University	http://www.cs.mdx.ac.uk/people/david-windridge	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Aamo Iorliam			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Nik Suki			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Anthony Tung Shuen Ho			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Yue Xiao 0003	Shenzhen University	https://orcid.org/0000-0001-5022-2064	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Peng Zhang			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Yuhong Liu			                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Ravi Garg			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Avinash L. Varna			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Kai-Hui Lee			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Pei-Ling Chiu			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Wonwoo Cho			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Nam Yul Yu			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Zoe Lin Jiang		https://orcid.org/0000-0002-8944-7444	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Junbin Fang			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Frank Y. W. Law			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Pierre K. Y. Lai			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Ricci S. C. Ieong			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Michael Y. K. Kwan			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
K. P. Chow	University of Hong Kong	https://i.cs.hku.hk/~chow	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Lucas C. K. Hui			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Siu-Ming Yiu	University of Hong Kong	https://www.cs.hku.hk/index.php/people/academic-staff/smyiu	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Kevin K. H. Pun			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Hua Deng			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Zheng Qin	Tsinghua University	http://www.thss.tsinghua.edu.cn/publish/soften/3131/2010/20101219101309332165608/20101219101309332165608_.html	                    5	                    0	                    5	                    0	                    0	                    0	                    0	                    4	                    1
Qianhong Wu	Beihang University	https://scholar.google.com/citations?user=z_kFFlkAAAAJ	                    6	                    0	                    6	                    0	                    0	                    0	                    0	                    0	                    6
Zhenyu Guan			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Yujue Wang			                    4	                    0	                    4	                    0	                    0	                    0	                    0	                    0	                    4
Yunya Zhou			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Xudong Lv			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Jeff Siu-Kei Au-Yeung		https://orcid.org/0000-0001-6523-9547	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Shuyuan Zhu		https://orcid.org/0000-0003-4450-3868	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Moncef Gabbouj	Tampere University	https://www.tuni.fi/en/moncef-gabbouj	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Sha Ma			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Qiong Huang			                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    1	                    2
Mingwu Zhang			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    1	                    1
Bo Yang 0003	Shaanxi Normal University	https://zbmath.org/authors/?q=ai:yang.bo.1	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Satashu Goel			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Vaneet Aggarwal	Purdue University	https://web.ics.purdue.edu/~vaneet/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Aylin Yener	Penn State	http://labs.ee.psu.edu/faculty/yener/	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
A. Robert Calderbank	Duke University	https://ece.duke.edu/faculty/robert-calderbank	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Xiaowei Yi			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Kun Yang			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Yuntao Wang 0003	China Satellite Co.	http://www.escience.cn/people/wangyuntao/index.html	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Haibo Yu			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Shunquan Tan	Shenzhen University	https://tansq.github.io	                    9	                    0	                    9	                    0	                    0	                    0	                    0	                    0	                    9
Weilong Wu			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Zilong Shao			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Qiushi Li			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Bin Li 0011	Shenzhen University	https://orcid.org/0000-0002-2613-5451	                    13	                    0	                    13	                    0	                    0	                    0	                    0	                    0	                    13
Jiwen Lu		https://orcid.org/0000-0002-6121-5529	                    6	                    0	                    6	                    0	                    0	                    0	                    0	                    0	                    6
Venice Erin Liong			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Gang Wang 0012	Alibaba AI Labs	https://sites.google.com/site/gangwang6/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Pierre Moulin			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Minho Jin			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Chang Dong Yoo			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Hyunsoo Kwon			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Hyunjae Nam			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Sangtae Lee			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Changhee Hahn	Chung-Ang University		                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Junbeom Hur			                    2	                    1	                    1	                    0	                    1	                    0	                    0	                    0	                    1
Duo Li			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Xiao-Ping Zhang 0002			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Menghan Hu		https://orcid.org/0000-0002-8557-8930	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Guangtao Zhai			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Xiaokang Yang	Shanghai Jiao Tong University	https://scholar.google.com/citations?user=yDEavdMAAAAJ=zh-CN	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Shan-Chun Liu			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Wen-Hsiang Tsai	National Chiao Tung University	http://people.cs.nctu.edu.tw/~whtsai/Welcome.html	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Georgios Tzimiropoulos			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Joan Alabort-i-Medina			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Stefanos Zafeiriou	Imperial College London	http://www.imperial.ac.uk/people/s.zafeiriou	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Maja Pantic	Imperial College London	http://www.ibug.doc.ic.ac.uk/maja	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Jun Yan 0007	Concordia University	https://orcid.org/0000-0002-5148-1399	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Haibo He			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Yan Sun			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Chia-Mu Yu			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Yao-Tung Tsou			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Chun-Shien Lu			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Sy-Yen Kuo		https://orcid.org/0000-0002-3021-8321	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Yuxin Liu 0001	Central South University	https://orcid.org/0000-0002-8632-2910	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Mianxiong Dong		https://orcid.org/0000-0002-2788-3451	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Kaoru Ota		https://orcid.org/0000-0002-3382-1652	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Anfeng Liu		https://orcid.org/0000-0001-5190-4761	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Cong Liu 0008	Huazhong University of Science and Technology		                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Hefei Ling			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Fuhao Zou			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Lingyu Yan	Hubei University of Technology	https://orcid.org/0000-0003-2468-3881	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Yunfei Wang			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Hui Feng 0002	Wuhan University of Technology	https://orcid.org/0000-0001-6696-3094	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Xinyu Ou			                    1	                    1	                    0	                    0	                    0	                    0	                    1	                    0	                    0
Luca Durante		https://orcid.org/0000-0001-9319-7620	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Lucia Seno			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Adriano Valenzano		https://orcid.org/0000-0003-1238-0808	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Jian Chen			                    3	                    1	                    2	                    0	                    0	                    0	                    1	                    0	                    2
Xuxin Zhang			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Rui Zhang 0066	Wuhan University of Technology		                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Chen Wang 0011	Huazhong University of Science and Technology	http://www.escience.cn/people/chenwang-en/index.html	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Ling Liu 0001	Georgia Institute of Technology	http://www.cc.gatech.edu/~lingliu	                    8	                    3	                    5	                    1	                    1	                    0	                    1	                    2	                    3
Ishmam Zabir			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Ahmed Maksud			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Gaojie Chen			                    9	                    0	                    9	                    0	                    0	                    0	                    0	                    0	                    9
Brian M. Sadler		https://orcid.org/0000-0002-9564-3812	                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Yingbo Hua		https://scholar.google.com/citations?user=3TNkHjkAAAAJ	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Zhongjie Ba	Zhejiang University	https://person.zju.edu.cn/zhongjieba	                    5	                    3	                    2	                    0	                    1	                    0	                    2	                    0	                    2
Zhan Qin	Zhejiang University	https://person.zju.edu.cn/qinzhan	                    15	                    4	                    11	                    0	                    3	                    0	                    1	                    5	                    6
Xinwen Fu	University of Massachusetts Lowell	http://www.cs.uml.edu/~xinwenfu	                    5	                    2	                    3	                    0	                    0	                    1	                    1	                    2	                    1
Kui Ren 0001	Zhejiang University	https://person.zju.edu.cn/kuiren	                    32	                    9	                    23	                    0	                    6	                    0	                    3	                    7	                    16
Cristina Comaniciu		http://www.ece.stevens-tech.edu/~ccomanic/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Sunghwan Cho			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Justin P. Coon	University of Oxford	http://www.eng.ox.ac.uk/communications/people/justin	                    4	                    0	                    4	                    0	                    0	                    0	                    0	                    0	                    4
Gary A. Atkinson			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Mark F. Hansen			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
William A. P. Smith	University of York	https://www-users.cs.york.ac.uk/wsmith	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Vasileios Argyriou			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Maria Petrou	Imperial College London	http://www.commsp.ee.ic.ac.uk/~mcpetrou/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Melvyn L. Smith		https://orcid.org/0000-0002-5307-8288	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Lyndon N. Smith	The University of the West of England	https://scholar.google.com/citations?user=5zoc-vAAAAAJ	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Faraz Ahmad Khan		https://orcid.org/0000-0001-7173-6822	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Fouad Khelifi			                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Muhammad Atif Tahir			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Ahmed Bouridane		http://www.northumbria.ac.uk/researchandconsultancy/refprofiles/ahmedbouridane/	                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Xinwei Qiu			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Wenxiong Kang			                    5	                    0	                    5	                    0	                    0	                    0	                    0	                    0	                    5
Senping Tian			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Wei Jia 0001	Hefei University of Technology	https://orcid.org/0000-0001-5628-6237	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Zhixing Huang			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Mehmet Necip Kurt		https://orcid.org/0000-0001-5827-2533	                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Yasin Yilmaz			                    5	                    0	                    5	                    0	                    0	                    0	                    0	                    1	                    4
Xiaodong Wang 0001	Columbia University	https://www.ee.columbia.edu/~wangx/	                    4	                    0	                    4	                    0	                    0	                    0	                    0	                    0	                    4
Min Xia			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Xu Zhang			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Wan'an Liu			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Liguo Weng			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
